Run;ReleaseDate;LoadDate;spots;bases;spots_with_mates;avgLength;size_MB;AssemblyName;download_path;Experiment;LibraryName;LibraryStrategy;LibrarySelection;LibrarySource;LibraryLayout;InsertSize;InsertDev;Platform;Model;SRAStudy;BioProject;Study_Pubmed_id;ProjectID;Sample;BioSample;SampleType;TaxID;ScientificName;SampleName;g1k_pop_code;source;g1k_analysis_group;Subject_ID;Sex;Disease;Tumor;Affection_Status;Analyte_Type;Histological_Type;Body_Site;CenterName;Submission;dbgap_study_accession;Consent;RunHash;ReadHash
SRR27026870;2/12/2023 7:30;2/12/2023 7:25;150;80054;150;533;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27026/SRR27026870/SRR27026870.lite.1;SRX22718566;ftWBB02_5_2;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709384;SAMN38016273;simple;1561972;seawater metagenome;112_093_211206_999_2852_451_02_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;857614F8A850B1EB143C6B85481722A5;869A41D89C6BF5489AD460AE9B6082B5
SRR27026869;2/12/2023 7:30;2/12/2023 7:25;462;246637;462;533;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27026/SRR27026869/SRR27026869.lite.1;SRX22718567;ftWBB02_5_3;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709385;SAMN38016274;simple;1561972;seawater metagenome;112_093_211206_999_2852_451_03_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;77EE2A6806063F382AFE0611D2E18B84;DE8E5E9E100D66474E67A351D389B377
SRR27026745;2/12/2023 7:30;2/12/2023 7:25;21;11214;21;534;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR027/27026/SRR27026745/SRR27026745.1;SRX22718692;ftWT1bis_4_1;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709510;SAMN38016389;simple;1561972;seawater metagenome;112_093_211206_999_2857_451_01_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;C8581B35A0B226323E626A96A64ABEB1;8A0F35217BD1A8C8BB37128E88832F56
SRR27026744;2/12/2023 7:30;2/12/2023 7:25;10;5341;10;534;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR027/27026/SRR27026744/SRR27026744.1;SRX22718693;ftWT1bis_4_2;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709511;SAMN38016390;simple;1561972;seawater metagenome;112_093_211206_999_2857_451_02_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;5211FED2A02C7781348D2DAF096E0510;011DE37D346CEA4508D0230B38E10441
SRR27026743;2/12/2023 7:30;2/12/2023 7:25;40;21360;40;534;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR027/27026/SRR27026743/SRR27026743.1;SRX22718694;ftWT1bis_4_3;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709512;SAMN38016391;simple;1561972;seawater metagenome;112_093_211206_999_2857_451_03_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;C8C61C06FD54AB3F234F43EB6C245421;EA444BBF1E9E15059829C27625CDB3FF
SRR27026953;2/12/2023 7:30;2/12/2023 7:25;701;374314;701;533;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27026/SRR27026953/SRR27026953.lite.1;SRX22718906;ftWT2bis_1_1;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709725;SAMN38016395;simple;1561972;seawater metagenome;112_093_211206_999_2864_451_01_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;E1F75E93991C8DE8AD12BBF9BC298810;E985EAD7CC6770E309258DAC5EA981B2
SRR27026952;2/12/2023 7:30;2/12/2023 7:25;235;125490;235;534;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27026/SRR27026952/SRR27026952.lite.1;SRX22718907;ftWT2bis_1_2;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709724;SAMN38016396;simple;1561972;seawater metagenome;112_093_211206_999_2864_451_02_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;52BFFD7D063D3657A171117E58E98E0D;4EE664DA3096217B0EB0D9E095ECF5B8
SRR27026951;2/12/2023 7:30;2/12/2023 7:25;574;306511;574;533;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27026/SRR27026951/SRR27026951.lite.1;SRX22718908;ftWT2bis_1_3;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709726;SAMN38016397;simple;1561972;seawater metagenome;112_093_211206_999_2864_451_03_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;D2A9D9A6337AA533D46C02B7CE8D4580;EEDDCA773203E7E827A94F27FDC1D82E
SRR27027062;2/12/2023 7:30;2/12/2023 7:26;1;532;1;532;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR027/27027/SRR27027062/SRR27027062.1;SRX22718798;neg_filter_2_2;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709616;SAMN38016462;simple;256318;metagenome;112_093_211206_999_2875_451_02_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;8ACC76BC25F629E762DEDCA7641CAF3D;EA7F4B5FC310222020117EFE906541D7
SRR27027061;2/12/2023 7:30;2/12/2023 7:25;2;1056;2;528;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR027/27027/SRR27027061/SRR27027061.1;SRX22718799;neg_filter_2_3;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709617;SAMN38016463;simple;256318;metagenome;112_093_211206_999_2875_451_03_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;90010D9229FBC50BFCB6008C7FFB7F20;42CCFADD4834FB3CD01CED87E9A9D2A8
SRR27026976;2/12/2023 7:30;2/12/2023 7:25;1147;610114;1147;531;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27026/SRR27026976/SRR27026976.lite.1;SRX22718883;ftWBB06a_4_1;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709700;SAMN38016329;simple;1561972;seawater metagenome;112_093_211206_999_2879_451_01_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;0CCD9200BBEC23CA25CDDA7EEA86AF5F;CB49B1F09FD578F08F1008D2B7B33678
SRR27026975;2/12/2023 7:30;2/12/2023 7:25;1998;1062889;1998;531;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27026/SRR27026975/SRR27026975.lite.1;SRX22718884;ftWBB06a_4_2;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709702;SAMN38016330;simple;1561972;seawater metagenome;112_093_211206_999_2879_451_02_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;FABB2FC7F636D6E075AFA263E63F85C0;AE38EB3E3A7D8145A668B07DA06226DB
SRR27026973;2/12/2023 7:30;2/12/2023 7:25;3703;1969982;3703;531;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27026/SRR27026973/SRR27026973.lite.1;SRX22718886;ftWBB06a_4_3;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709703;SAMN38016331;simple;1561972;seawater metagenome;112_093_211206_999_2879_451_03_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;4670D9E5FA52E1C9AE17BB653F9F3AAD;0E776DFD1E3E1C227A61F6D6C5002FAE
SRR27026805;2/12/2023 7:30;2/12/2023 7:25;21851;11624311;21851;531;4;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27026/SRR27026805/SRR27026805.lite.1;SRX22718632;ftTrack5_3_1;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709449;SAMN38016221;simple;1561972;seawater metagenome;112_093_211206_999_2894_451_01_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;1C11209D021B69477504F18991B86A17;2724A176F1C640A216EC6E964A463813
SRR27026804;2/12/2023 7:30;2/12/2023 7:25;14427;7675177;14427;532;3;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27026/SRR27026804/SRR27026804.lite.1;SRX22718633;ftTrack5_3_2;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709451;SAMN38016222;simple;1561972;seawater metagenome;112_093_211206_999_2894_451_02_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;064E2E7EC044466F8E1385FA324C91CA;31A51834C670C6D7FBA9CACB23974B8C
SRR27026803;2/12/2023 7:30;2/12/2023 7:25;33392;17764365;33392;531;7;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27026/SRR27026803/SRR27026803.lite.1;SRX22718634;ftTrack5_3_3;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709452;SAMN38016223;simple;1561972;seawater metagenome;112_093_211206_999_2894_451_03_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;55BF45C07E5442939B3AD54AA480C8DA;A88AEAE15BAAB376AF73FA424848ABC0
SRR27026902;2/12/2023 7:30;2/12/2023 7:26;33855;18010770;33855;531;6;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27026/SRR27026902/SRR27026902.lite.1;SRX22718958;ftGB02_3_1;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709776;SAMN38016176;simple;1561972;seawater metagenome;112_093_211206_999_2902_451_01_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;C86F48EF5E40ACEB472A062E4FC57949;112AD201562B9DD525AD3B331497CE5B
SRR27026901;2/12/2023 7:30;2/12/2023 7:27;108108;57513476;108108;532;21;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27026/SRR27026901/SRR27026901.lite.1;SRX22718959;ftGB02_3_2;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709777;SAMN38016177;simple;1561972;seawater metagenome;112_093_211206_999_2902_451_02_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;00A7BD8609AFA70578C48C8F114BDCFB;B92B1A36CE71DFB6DF78E0ED3968528C
SRR27026899;2/12/2023 7:30;2/12/2023 7:26;48192;25638072;48192;531;10;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27026/SRR27026899/SRR27026899.lite.1;SRX22718961;ftGB02_3_3;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709778;SAMN38016178;simple;1561972;seawater metagenome;112_093_211206_999_2902_451_03_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;AA62CC65FFD07046AE8B21EFB5426E33;4B8755FCD76FD42DE829F72C0C8D75A5
SRR27026959;2/12/2023 7:30;2/12/2023 7:26;26347;14015679;26347;531;6;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27026/SRR27026959/SRR27026959.lite.1;SRX22718900;ftWBB06b_4_1;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709718;SAMN38016344;simple;1561972;seawater metagenome;112_093_211206_999_2921_451_01_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;5D90EA1186E2670B9B5C12829A99A7D1;BAB9BFFB398E424BCFA3AFDE9562D854
SRR27026958;2/12/2023 7:30;2/12/2023 7:25;16991;9039065;16991;531;4;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27026/SRR27026958/SRR27026958.lite.1;SRX22718901;ftWBB06b_4_2;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709719;SAMN38016345;simple;1561972;seawater metagenome;112_093_211206_999_2921_451_02_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;C6312AC50DA9F8E06651675BA3AFA0E4;CED8371F2A45EC4632D9817355813A1B
SRR27026957;2/12/2023 7:30;2/12/2023 7:26;29203;15535571;29203;531;6;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27026/SRR27026957/SRR27026957.lite.1;SRX22718902;ftWBB06b_4_3;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709720;SAMN38016346;simple;1561972;seawater metagenome;112_093_211206_999_2921_451_03_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;01B080C38F01C71ACB17B3C096F78AC0;E359D58D2BDAF5EBE177E5893AE3C80A
SRR27027070;2/12/2023 7:30;2/12/2023 7:26;33139;17695748;33139;533;7;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27027/SRR27027070/SRR27027070.lite.1;SRX22718791;ftWG2_1_1;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709610;SAMN38016365;simple;1561972;seawater metagenome;112_093_211206_999_2939_451_01_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;3D08D01AA4D1E991208EAC7FB4FF4B99;8A661E0F0145D84EDC5BA828BCBC14D6
SRR27027069;2/12/2023 7:30;2/12/2023 7:26;367;195977;367;533;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27027/SRR27027069/SRR27027069.lite.1;SRX22718792;ftWG2_1_2;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709609;SAMN38016366;simple;1561972;seawater metagenome;112_093_211206_999_2939_451_02_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;AB2443CD79AE34085B14AAAA5EA15ECC;D380C971B866293AE27DFAC5738E3181
SRR27027068;2/12/2023 7:30;2/12/2023 7:26;3858;2059898;3858;533;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27027/SRR27027068/SRR27027068.lite.1;SRX22718793;ftWG2_1_3;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709611;SAMN38016367;simple;1561972;seawater metagenome;112_093_211206_999_2939_451_03_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;3299F85230B043CF503319741FFA1C7A;FC6190B289BCFC6F4D0A6ABC9B895068
SRR27027106;2/12/2023 7:30;2/12/2023 7:26;13408;7159765;13408;533;2;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27027/SRR27027106/SRR27027106.lite.1;SRX22718755;ftWBB02b_5_1;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709573;SAMN38016287;simple;1561972;seawater metagenome;112_093_211206_999_2954_451_01_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;7DAB105FFF4EEEADCC92E3398ED7986A;C2C367A536D80B0E789CE2642E321BE4
SRR27027105;2/12/2023 7:30;2/12/2023 7:26;1145;611355;1145;533;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27027/SRR27027105/SRR27027105.lite.1;SRX22718756;ftWBB02b_5_2;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709574;SAMN38016288;simple;1561972;seawater metagenome;112_093_211206_999_2954_451_02_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;858ABC7EA4D79C867AFB04CBAFBA1956;26F957E7B1399A1D6704E45ACEAF466A
SRR27027104;2/12/2023 7:30;2/12/2023 7:26;1782;951587;1782;533;0;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR027/27027/SRR27027104/SRR27027104.lite.1;SRX22718757;ftWBB02b_5_3;AMPLICON;PCR;METAGENOMIC;PAIRED;0;0;ILLUMINA;Illumina MiSeq;SRP475428;PRJNA1032405;;1032405;SRS19709575;SAMN38016289;simple;1561972;seawater metagenome;112_093_211206_999_2954_451_03_3112;;;;;;;no;;;;;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;SRA1761617;;public;57D537246A784DA3B24F4CC8182611DC;A13DAA7D90511CCA507734B17EFF7223
