Run;Assay Type;AvgSpotLen;Bases;BioProject;BioSample;BioSampleModel;Bytes;Center Name;Collection_Date;Consent;DATASTORE filetype;DATASTORE provider;DATASTORE region;Depth;env_broad_scale;env_local_scale;env_medium;Experiment;geo_loc_name_country;geo_loc_name_country_continent;geo_loc_name;Instrument;lat_lon;Library Name;LibraryLayout;LibrarySelection;LibrarySource;Organism;Platform;ReleaseDate;Repeat_experiment;create_date;version;samp_collect_device;samp_mat_process;samp_size;samp_vol_we_dna_ext;Sample Name;size_frac;SRA Study;neg_cont_type;tot_depth_water_col;silicate;samp_store_dur;samp_store_loc;samp_store_temp
SRR27452870;AMPLICON;515;14936990;PRJNA1032405;SAMN38358212;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;9661438;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;2/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;source water;SRX23124782;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_Field_6_3;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_Field_6_3;2024-01-08T06:03:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;1400;112_099_221209_999_3457_460_03_3841;0,45;SRP475428;commercial sourcewater metagenome;not applicable;;;;
SRR27452871;AMPLICON;518;16992598;PRJNA1032405;SAMN38358211;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;10997298;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;2/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;source water;SRX23124781;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_Field_6_2;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_Field_6_2;2024-01-08T06:02:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;1400;112_099_221209_999_3457_460_02_3841;0,45;SRP475428;commercial sourcewater metagenome;not applicable;;;;
SRR27452872;AMPLICON;517;13389873;PRJNA1032405;SAMN38358210;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;8728854;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;2/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;source water;SRX23124780;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_Field_6_1;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_Field_6_1;2024-01-08T06:01:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;1400;112_099_221209_999_3457_460_01_3841;0,45;SRP475428;commercial sourcewater metagenome;not applicable;;;;
SRR27452873;AMPLICON;510;12490557;PRJNA1032405;SAMN38358209;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;8141245;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;2/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;source water;SRX23124779;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_Field_5_3;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_Field_5_3;2024-01-08T06:02:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;1870;112_099_221209_999_3456_460_03_3841;0,45;SRP475428;commercial sourcewater metagenome;not applicable;;;;
SRR27452874;AMPLICON;516;3780116;PRJNA1032405;SAMN38358208;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;2505130;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;2/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;source water;SRX23124778;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_Field_5_2;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_Field_5_2;2024-01-08T06:02:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;1870;112_099_221209_999_3456_460_02_3841;0,45;SRP475428;commercial sourcewater metagenome;not applicable;;;;
SRR27452875;AMPLICON;511;6410986;PRJNA1032405;SAMN38358207;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;4240414;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;2/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;source water;SRX23124777;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_Field_5_1;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_Field_5_1;2024-01-08T06:02:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;1870;112_099_221209_999_3456_460_01_3841;0,45;SRP475428;commercial sourcewater metagenome;not applicable;;;;
SRR27452876;AMPLICON;504;12896699;PRJNA1032405;SAMN38358206;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;8263725;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;2/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;source water;SRX23124776;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_Field_4_3;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_Field_4_3;2024-01-08T06:02:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;1380;112_099_221209_999_3458_460_03_3841;0,45;SRP475428;commercial sourcewater metagenome;not applicable;;;;
SRR27452877;AMPLICON;476;1668281;PRJNA1032405;SAMN38357801;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;996800;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;6/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;bottom;marine;Coastal;seawater;SRX23124775;Belgium;Europe;Belgium:North Sea;Illumina MiSeq;51.1853 N 2.70142 E;ft120_bottom_5_3;PAIRED;PCR;METAGENOMIC;seawater metagenome;ILLUMINA;2024-01-08T00:00:00Z;ft120_bottom_5_3;2024-01-08T06:02:00Z;1;Niskin caroussel;MiFish_U/E_F-tag|MiFish_U/E_R-tag;2000;1100;112_099_221207_999_3478_460_03_3841;0,45;SRP475428;not applicable;6;;;;
SRR27452878;AMPLICON;517;11896988;PRJNA1032405;SAMN38358205;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;7636754;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;2/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;source water;SRX23124774;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_Field_4_2;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_Field_4_2;2024-01-08T06:02:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;1380;112_099_221209_999_3458_460_02_3841;0,45;SRP475428;commercial sourcewater metagenome;not applicable;;;;
SRR27452879;AMPLICON;512;16550431;PRJNA1032405;SAMN38358204;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;10557122;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;2/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;source water;SRX23124773;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_Field_4_1;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_Field_4_1;2024-01-08T06:03:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;1380;112_099_221209_999_3458_460_01_3841;0,45;SRP475428;commercial sourcewater metagenome;not applicable;;;;
SRR27452880;AMPLICON;477;23159701;PRJNA1032405;SAMN38358203;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;13830559;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;29/09/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;source water;SRX23124772;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_Field_3_3;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_Field_3_3;2024-01-08T06:03:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;1310;112_099_221201_999_3408_460_03_3841;0,45;SRP475428;commercial sourcewater metagenome;not applicable;;;;
SRR27452881;AMPLICON;507;11568398;PRJNA1032405;SAMN38358202;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;7157664;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;29/09/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;source water;SRX23124771;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_Field_3_2;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_Field_3_2;2024-01-08T06:02:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;1310;112_099_221201_999_3408_460_02_3841;0,45;SRP475428;commercial sourcewater metagenome;not applicable;;;;
SRR27452882;AMPLICON;510;7525032;PRJNA1032405;SAMN38358201;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;4666284;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;29/09/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;source water;SRX23124770;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_Field_3_1;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_Field_3_1;2024-01-08T06:02:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;1310;112_099_221201_999_3408_460_01_3841;0,45;SRP475428;commercial sourcewater metagenome;not applicable;;;;
SRR27452883;AMPLICON;503;293214;PRJNA1032405;SAMN38358200;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;255896;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;29/09/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;source water;SRX23124769;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_Field_2_3;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_Field_2_3;2024-01-08T06:02:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;1220;112_099_221201_999_3407_460_03_3841;0,45;SRP475428;commercial sourcewater metagenome;not applicable;;;;
SRR27452884;AMPLICON;517;28960;PRJNA1032405;SAMN38358199;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;85491;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;29/09/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;source water;SRX23124768;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_Field_2_2;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_Field_2_2;2024-01-08T06:01:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;1220;112_099_221201_999_3407_460_02_3841;0,45;SRP475428;commercial sourcewater metagenome;not applicable;;;;
SRR27452885;AMPLICON;516;1998478;PRJNA1032405;SAMN38358198;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;1363599;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;29/09/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;source water;SRX23124767;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_Field_2_1;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_Field_2_1;2024-01-08T06:02:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;1220;112_099_221201_999_3407_460_01_3841;0,45;SRP475428;commercial sourcewater metagenome;not applicable;;;;
SRR27452886;AMPLICON;433;3869264;PRJNA1032405;SAMN38358197;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;2233479;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;29/09/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;source water;SRX23124766;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_Field_1_3;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_Field_1_3;2024-01-08T06:02:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;1310;112_099_221201_999_3406_460_03_3841;0,45;SRP475428;commercial sourcewater metagenome;not applicable;;;;
SRR27452887;AMPLICON;484;3399758;PRJNA1032405;SAMN38358196;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;2170113;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;29/09/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;source water;SRX23124765;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_Field_1_2;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_Field_1_2;2024-01-08T06:02:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;1310;112_099_221201_999_3406_460_02_3841;0,45;SRP475428;commercial sourcewater metagenome;not applicable;;;;
SRR27452888;AMPLICON;471;2627689;PRJNA1032405;SAMN38357800;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;1503882;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;6/10/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;bottom;marine;Coastal;seawater;SRX23124764;Belgium;Europe;Belgium:North Sea;Illumina MiSeq;51.1853 N 2.70142 E;ft120_bottom_5_2;PAIRED;PCR;METAGENOMIC;seawater metagenome;ILLUMINA;2024-01-08T00:00:00Z;ft120_bottom_5_2;2024-01-08T06:02:00Z;1;Niskin caroussel;MiFish_U/E_F-tag|MiFish_U/E_R-tag;2000;1100;112_099_221207_999_3478_460_02_3841;0,45;SRP475428;not applicable;6;;;;
SRR27452889;AMPLICON;488;8820884;PRJNA1032405;SAMN38358195;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;5567927;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;29/09/2022;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;source water;SRX23124763;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_Field_1_1;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_Field_1_1;2024-01-08T06:02:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;1310;112_099_221201_999_3406_460_01_3841;0,45;SRP475428;commercial sourcewater metagenome;not applicable;;;;
SRR27452890;AMPLICON;386;139961;PRJNA1032405;SAMN38358194;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;139291;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;not applicable;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;not applicable;SRX23124762;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_DNA_1_3;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_DNA_1_3;2024-01-08T06:03:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;not applicable;112_099_221129_999_3500_460_03_3841;0,45;SRP475428;sterile 0,45µM sterivex filter;not applicable;;;;
SRR27452891;AMPLICON;359;641635;PRJNA1032405;SAMN38358193;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;333486;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;not applicable;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;not applicable;SRX23124761;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_DNA_1_2;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_DNA_1_2;2024-01-08T06:02:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;not applicable;112_099_221129_999_3500_460_02_3841;0,45;SRP475428;sterile 0,45µM sterivex filter;not applicable;;;;
SRR27452892;AMPLICON;361;5038560;PRJNA1032405;SAMN38358192;MIMARKS.survey,MIGS/MIMS/MIMARKS.water;2229050;ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES;not applicable;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;not applicable;not applicable;not applicable;not applicable;SRX23124760;uncalculated;uncalculated;not applicable;Illumina MiSeq;not applicable;Neg_DNA_1_1;PAIRED;PCR;METAGENOMIC;metagenome;ILLUMINA;2024-01-08T00:00:00Z;Neg_DNA_1_1;2024-01-08T06:02:00Z;1;not applicable;MiFish_U/E_F-tag|MiFish_U/E_R-tag;not applicable;not applicable;112_099_221129_999_3500_460_01_3841;0,45;SRP475428;sterile 0,45µM sterivex filter;not applicable;;;;
